Label;Type;Value;Unit;Page;Subject;Author;Text;"Alt. Value";Color
1-510-150_ОК-5х2;Perimeter;6,908;m;11;Периметр_пдс;bulhakov;"6.91 м";0;#ef5350
"1-510-100_ОК-1х2, ДБ-1х2";Perimeter;5,798;m;11;Периметр_пдс_балкон;bulhakov;"5.8 м";0;#ef5350
"1-510-150_ОК-5х2, ОК-4";Perimeter;11,376;m;11;Периметр_пдс;bulhakov;"11.38 м";0;#ef5350
1-510-150;Perimeter;1,24;m;11;Периметр_пдз;bulhakov;"1.24 м";0;#ef5350
"1-510-0_ОК-1, ДБ-1";Perimeter;5,218;m;11;Периметр_пдз_балкон;bulhakov;"5.22 м";2,81;#ef5350
1-510-150_ОК-4х3;Perimeter;9,557;m;11;Периметр_пдз;bulhakov;"9.56 м";0;#ef5350
1-510-0;Perimeter;1,654;m;11;Периметр_пнз_тамбур;bulhakov;"1.65 м";0;#ab47bc
1-510-100_ОК-5*;Perimeter;3,099;m;11;Периметр_пнз;bulhakov;"3.1 м";0;#ab47bc
1-510-0;Perimeter;1,654;m;11;Периметр_пнз_тамбур;bulhakov;"1.65 м";0;#ab47bc
"3-5 поверхи";Area;651,185;m²;12;Площа_3_9;bulhakov;"651.18 м²";122,085;#d32f2f
"1-380-150_ОК-2, ДБ-1, ОК-3, ОК-6х2, ДБ-2";Perimeter;20,808;m;12;Периметр_пнз;bulhakov;"20.81 м";4,387;#ef5350
"1-380-150_ОК-2, ДБ-1, ОК-3, ОК-6х2, ДБ-2";Perimeter;20,81;m;12;Периметр_пнз;bulhakov;"20.81 м";4,39;#ef5350
1-380-150_ОК-4х3;Perimeter;9,81;m;12;Периметр_пнс;bulhakov;"9.81 м";0;#ef5350
"1-380-0_ОК-1, ДБ-1";Perimeter;5,088;m;12;Периметр_пнс_балкон;bulhakov;"5.09 м";2,711;#ef5350
1-380-150;Perimeter;1,37;m;12;Периметр_пнс;bulhakov;"1.37 м";0;#ef5350
"1-380-150_ОК-5х2, ОК-4";Perimeter;10,107;m;12;Периметр_пдс;bulhakov;"10.11 м";0;#ef5350
"1-380-150_ОК-1х2, ДБ-1х2";Perimeter;8,597;m;12;Периметр_пдс_балкон;bulhakov;"8.6 м";0;#ef5350
1-380-150_ОК-5х2;Perimeter;4,109;m;12;Периметр_пдс;bulhakov;"4.11 м";0;#ef5350
"1-380-150_ОК-1х2, ДБ-1х2";Perimeter;8,597;m;12;Периметр_пдс_балкон;bulhakov;"8.6 м";0;#ef5350
"1-380-150_ОК-5х2, ОК-4";Perimeter;10,107;m;12;Периметр_пдс;bulhakov;"10.11 м";0;#ef5350
1-380-150;Perimeter;1,37;m;12;Периметр_пдз;bulhakov;"1.37 м";0;#ef5350
"1-380-0_ОК-1, ДБ-1";Perimeter;5,088;m;12;Периметр_пдз_балкон;bulhakov;"5.09 м";2,711;#ef5350
1-380-150_ОК-4х3;Perimeter;9,817;m;12;Периметр_пдз;bulhakov;"9.82 м";0;#ef5350
1-380-0;Perimeter;1,654;m;12;Периметр_пнз_тамбур;bulhakov;"1.65 м";0;#ab47bc
1-380-100_ОК-5*;Perimeter;3,099;m;12;Периметр_пнз;bulhakov;"3.1 м";0;#ab47bc
1-380-0;Perimeter;1,654;m;12;Периметр_пнз_тамбур;bulhakov;"1.65 м";0;#ab47bc
"6-9 поверхи";Area;655,373;m²;13;Площа_4_11,7;bulhakov;"655.37 м²";124,164;#d32f2f
"1-380-150_ОК-2, ДБ-1, ОК-3, ОК-6х2, ДБ-2";Perimeter;20,808;m;13;Периметр_пнз;bulhakov;"20.81 м";4,387;#ef5350
"1-380-150_ОК-2, ДБ-1, ОК-3, ОК-6х2, ДБ-2";Perimeter;20,81;m;13;Периметр_пнз;bulhakov;"20.81 м";4,39;#ef5350
"1-380-150_ОК-4, ОК-8";Perimeter;10,85;m;13;Периметр_пнс;bulhakov;"10.85 м";2,094;#ef5350
"1-380-0_ОК-1, ДБ-1";Perimeter;5,088;m;13;Периметр_пнс_балкон;bulhakov;"5.09 м";2,711;#ef5350
1-380-150;Perimeter;1,37;m;13;Периметр_пнс;bulhakov;"1.37 м";0;#ef5350
"1-380-150_ОК-5х2, ОК-4";Perimeter;10,107;m;13;Периметр_пдс;bulhakov;"10.11 м";0;#ef5350
"1-380-150_ОК-1х2, ДБ-1х2";Perimeter;8,597;m;13;Периметр_пдс_балкон;bulhakov;"8.6 м";0;#ef5350
1-380-150_ОК-5х2;Perimeter;4,109;m;13;Периметр_пдс;bulhakov;"4.11 м";0;#ef5350
"1-380-150_ОК-1х2, ДБ-1х2";Perimeter;8,597;m;13;Периметр_пдс_балкон;bulhakov;"8.6 м";0;#ef5350
"1-380-150_ОК-5х2, ОК-4";Perimeter;10,107;m;13;Периметр_пдс;bulhakov;"10.11 м";0;#ef5350
1-380-150;Perimeter;1,37;m;13;Периметр_пдз;bulhakov;"1.37 м";0;#ef5350
"1-380-0_ОК-1, ДБ-1";Perimeter;5,088;m;13;Периметр_пдз_балкон;bulhakov;"5.09 м";2,711;#ef5350
"1-380-150_ОК-4, ОК-8";Perimeter;10,856;m;13;Периметр_пдз;bulhakov;"10.86 м";2,094;#ef5350
1-380-0;Perimeter;1,654;m;13;Периметр_пнз_тамбур;bulhakov;"1.65 м";0;#ab47bc
1-380-100_ОК-5*;Perimeter;3,099;m;13;Периметр_пнз;bulhakov;"3.1 м";0;#ab47bc
1-380-0;Perimeter;1,654;m;13;Периметр_пнз_тамбур;bulhakov;"1.65 м";0;#ab47bc
